norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,976.95889064523,Low LEO,LEO-Polar,LOW,90.2214,0.00258502,2023,0,<1yr,13.76322638,2025-11-19 13:59:20.966784,celestrak,2025-11-19,US,2025-11-19
902,CALSPHERE 2,PAYLOAD,Other,1061.680140250066,Mid LEO,LEO-Polar,LOW,90.2361,0.00203779,2023,0,<1yr,13.52880291,2025-11-19 13:40:44.479200,celestrak,2025-11-19,US,2025-11-19
1361,LCS 1,PAYLOAD,Other,2787.875758193736,High LEO,MEO,LOW,32.145,0.00133683,2023,0,<1yr,9.89309264,2025-11-19 05:43:58.727424,celestrak,2025-11-19,US,2025-11-19
1512,TEMPSAT 1,PAYLOAD,Other,1133.2925601075913,Mid LEO,LEO-Polar,HIGH,89.9896,0.0071188,2023,0,<1yr,13.33579355,2025-11-19 05:13:06.491136,celestrak,2025-11-19,US,2025-11-19
1520,CALSPHERE 4A,PAYLOAD,Other,1123.3441811424327,Mid LEO,LEO-Polar,HIGH,89.9081,0.00689357,2023,0,<1yr,13.36233101,2025-11-19 11:40:26.247360,celestrak,2025-11-19,US,2025-11-19
2826,OPS 5712 (P/L 160),PAYLOAD,Other,649.3396016179277,Low LEO,LEO-Inclined,MEDIUM,69.9178,0.00047421,2023,0,<1yr,14.73681561,2025-11-19 15:09:02.013984,celestrak,2025-11-19,US,2025-11-19
2866,LES-5,PAYLOAD,Other,33401.02060790631,MEO,MEO,LOW,2.1395,0.00556507,2023,0,<1yr,1.09425714,2025-11-19 10:25:18.125184,celestrak,2025-11-19,US,2025-11-19
2872,SURCAL 159,PAYLOAD,Other,895.412341488076,Low LEO,LEO-Inclined,MEDIUM,69.9736,0.00059985,2023,0,<1yr,13.99533112,2025-11-19 14:40:11.469504,celestrak,2025-11-19,US,2025-11-19
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.9482128180562,Low LEO,LEO-Inclined,LOW,69.973,0.000464,2023,0,<1yr,13.96785362,2025-11-19 10:46:02.475264,celestrak,2025-11-19,US,2025-11-19
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36388.64934862457,Beyond GEO,HEO,LOW,0.3602,0.00238039,2023,0,<1yr,0.98161873,2025-11-19 11:42:48.199968,celestrak,2025-11-19,US,2025-11-19
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,766.7401629935594,Low LEO,LEO-Polar,MEDIUM,87.6236,0.00594091,2023,0,<1yr,14.37509131,2025-11-19 15:03:53.534016,celestrak,2025-11-19,US,2025-11-19
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.083676073973,Mid LEO,LEO-Polar,LOW,101.9973,0.00122348,2023,0,<1yr,12.53693559,2025-11-19 12:55:17.659776,celestrak,2025-11-19,US,2025-11-19
7646,STARLETTE,PAYLOAD,Other,955.5749560559643,Low LEO,LEO-Inclined,LOW,49.8223,0.02056464,2023,0,<1yr,13.8234673,2025-11-19 14:05:48.676416,celestrak,2025-11-19,FR,2025-11-19
8820,LAGEOS 1,PAYLOAD,Other,5893.0470285507645,High LEO,MEO,LOW,109.8382,0.00446712,2023,0,<1yr,6.38664914,2025-11-19 13:30:44.080416,celestrak,2025-11-19,US,2025-11-19
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36379.82831017126,Beyond GEO,HEO,LOW,9.7192,0.00060514,2023,0,<1yr,0.98192251,2025-11-19 06:22:56.345088,celestrak,2025-11-19,US,2025-11-19
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.686865568983,MEO,MEO,MEDIUM,26.1189,0.60666963,2023,1,<1yr,2.05871619,2025-11-18 02:45:07.532064,celestrak,2025-11-19,GER,2025-11-19
14781,UOSAT 2 (UO-11),PAYLOAD,Other,597.841709919695,Low LEO,LEO-Polar,HIGH,97.7776,0.00083676,2023,0,<1yr,14.90030102,2025-11-19 15:01:26.856192,celestrak,2025-11-19,UK,2025-11-19
16908,AJISAI (EGS),PAYLOAD,Other,1487.52518250938,Mid LEO,LEO-Inclined,LOW,50.0097,0.00112122,2023,0,<1yr,12.44514115,2025-11-19 15:05:05.349696,celestrak,2025-11-19,JPN,2025-11-19
19548,TDRS 3,PAYLOAD,Other,35788.8711652064,GEO,GEO-Inclined,HIGH,12.7632,0.0041025,2023,1,<1yr,1.00263666,2025-11-18 22:31:15.473856,celestrak,2025-11-19,US,2025-11-19
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.57320301144,MEO,MEO,MEDIUM,64.8237,0.0023443,2023,0,<1yr,2.13156075,2025-11-19 13:01:16.686336,celestrak,2025-11-19,CIS,2025-11-19
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.702206216807,MEO,MEO,MEDIUM,65.0642,0.00204406,2023,0,<1yr,2.13204614,2025-11-19 13:06:20.581920,celestrak,2025-11-19,CIS,2025-11-19
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35784.617584844265,GEO,MEO,HIGH,12.4806,0.00072555,2023,0,<1yr,1.00278839,2025-11-19 13:56:56.143968,celestrak,2025-11-19,US,2025-11-19
20442,LUSAT (LO-19),PAYLOAD,Other,778.2890769804872,Low LEO,LEO-Polar,MEDIUM,98.8973,0.00126327,2023,0,<1yr,14.34030795,2025-11-19 00:47:21.974208,celestrak,2025-11-19,ARGN,2025-11-19
20580,HST,PAYLOAD,Other,482.9694592032247,Very Low LEO,LEO-Equatorial,HIGH,28.4689,0.00015735,2023,0,<1yr,15.27606596,2025-11-19 14:28:18.185664,celestrak,2025-11-19,US,2025-11-19
20776,SKYNET 4C,PAYLOAD,Other,35785.21043702983,GEO,MEO,HIGH,13.4082,0.00027249,2023,0,<1yr,1.00276724,2025-11-19 03:08:51.657216,celestrak,2025-11-19,UK,2025-11-19
20929,USA 65 (DSP 15),PAYLOAD,Other,36320.47317781907,Beyond GEO,HEO,LOW,14.135,0.0002078,2023,0,<1yr,0.98397067,2025-11-19 12:04:01.168320,celestrak,2025-11-19,US,2025-11-19
21639,TDRS 5,PAYLOAD,Other,35785.48206279398,GEO,MEO,HIGH,14.0975,0.00133758,2023,0,<1yr,1.00275755,2025-11-19 06:31:10.554816,celestrak,2025-11-19,US,2025-11-19
21805,USA 75 (DSP 16),PAYLOAD,Other,36093.762708288516,Beyond GEO,HEO,LOW,14.1178,0.00020243,2023,0,<1yr,0.99185967,2025-11-19 13:21:48.239712,celestrak,2025-11-19,US,2025-11-19
22195,LAGEOS 2,PAYLOAD,Other,5783.751798332761,High LEO,MEO,LOW,52.6707,0.01378196,2023,16,<1yr,6.47293461,2025-11-03 16:50:33.176832,celestrak,2025-11-19,IT,2025-11-19
