object_name,object_id,norad_id,object_type,ops_status,owner,launch_date,launch_site,decay_date,period_minutes,inclination_degrees,apogee_km,perigee_km,rcs,data_status,orbit_center,orbit_type,orbit_class,users,purpose,source,category
VANGUARD 1,1958-002B,5,PAY,,US,1958-03-17,AFETR,,132.6,34.25,3820.0,651.0,0.122,,EA,ORB,MEO,,,left_only,Inactive Satellite
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,120.99,32.88,2898.0,552.0,0.3931,,EA,ORB,LEO,,,left_only,Inactive Satellite
VANGUARD R/B,1959-001B,12,R/B,,US,1959-02-17,AFETR,,125.38,32.9,3287.0,553.0,0.5266,,EA,ORB,LEO,,,left_only,Rocket Body
VANGUARD R/B,1958-002A,16,R/B,,US,1958-03-17,AFETR,,137.2,34.27,4216.0,651.0,0.2282,,EA,ORB,MEO,,,left_only,Rocket Body
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,123.95,33.35,3207.0,506.0,0.6412,,EA,ORB,LEO,,,left_only,Inactive Satellite
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,94.45,50.24,551.0,434.0,0.5003,,EA,ORB,LEO,,,left_only,Inactive Satellite
PIONEER 5,1960-001A,27,PAY,,US,1960-03-11,AFETR,,,,,,0.0008,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
TIROS 1,1960-002B,29,PAY,-,US,1960-04-01,AFETR,,97.4,48.38,650.0,618.0,0.803,,EA,ORB,LEO,,,left_only,Inactive Satellite
TRANSIT 2A,1960-007A,45,PAY,,US,1960-06-22,AFETR,,100.29,66.69,956.0,589.0,0.4299,,EA,ORB,LEO,,,left_only,Inactive Satellite
SOLRAD 1 (GREB),1960-007B,46,PAY,,US,1960-06-22,AFETR,,99.0,66.69,845.0,576.0,0.3501,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1960-007C,47,R/B,,US,1960-06-22,AFETR,,99.65,66.66,903.0,581.0,2.9661,,EA,ORB,LEO,,,left_only,Rocket Body
DELTA 1 R/B,1960-009B,50,R/B,,US,1960-08-12,AFETR,,118.02,47.23,1682.0,1501.0,0.594,,EA,ORB,LEO,,,left_only,Rocket Body
ECHO 1 DEB [METAL OBJ],1960-009C,51,DEB,,US,1960-08-12,AFETR,,118.19,47.21,1688.0,1511.0,0.5289,,EA,ORB,LEO,,,left_only,Debris
ECHO 1 DEB [MYLAR OBJ],1960-009D,52,DEB,,US,1960-08-12,AFETR,,118.26,47.38,1711.0,1494.0,0.003,,EA,ORB,LEO,,,left_only,Debris
ECHO 1 DEB [METAL OBJ],1960-009E,53,DEB,,US,1960-08-12,AFETR,,118.28,47.28,1682.0,1526.0,0.581,,EA,ORB,LEO,,,left_only,Debris
COURIER 1B,1960-013A,58,PAY,,US,1960-10-04,AFETR,,106.95,28.33,1209.0,962.0,1.2843,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1960-013B,59,R/B,,US,1960-10-04,AFETR,,106.42,28.25,1201.0,920.0,3.4517,,EA,ORB,LEO,,,left_only,Rocket Body
VENERA 1,1961-003A,80,PAY,,CIS,1961-02-12,TYMSC,,,,,,0.0039,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
SCOUT X-1 R/B,1961-004B,82,R/B,,US,1961-02-16,WLPIS,,117.28,38.85,2485.0,632.0,0.533,,EA,ORB,LEO,,,left_only,Rocket Body
EXPLORER 11,1961-013A,107,PAY,,US,1961-04-27,AFETR,,101.33,28.78,1180.0,463.0,0.4538,,EA,ORB,LEO,,,left_only,Inactive Satellite
LUNA 1,1959-012A,112,PAY,,CIS,1959-01-02,TYMSC,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
PIONEER 4,1959-013A,113,PAY,,US,1959-03-03,AFETR,,,,,,,NEA,SU,ORB,Unknown,,,left_only,Inactive Satellite
THOR ABLE DEB [YO],1960-002D,115,DEB,,US,1960-04-01,AFETR,,96.19,48.16,596.0,557.0,0.0471,,EA,ORB,LEO,,,left_only,Debris
TRANSIT 4A,1961-015A,116,PAY,,US,1961-06-29,AFETR,,103.43,66.81,974.0,867.0,0.7486,,EA,ORB,LEO,,,left_only,Inactive Satellite
SOLRAD 3 & INJUN 1,1961-015B,117,PAY,,US,1961-06-29,AFETR,,103.58,66.81,981.0,875.0,0.4239,,EA,ORB,LEO,,,left_only,Inactive Satellite
THOR ABLESTAR R/B,1961-015C,118,R/B,,US,1961-06-29,AFETR,,102.66,66.76,943.0,827.0,1.6476,,EA,ORB,LEO,,,left_only,Rocket Body
THOR ABLESTAR DEB,1961-015D,119,DEB,,US,1961-06-29,AFETR,,100.91,66.73,873.0,730.0,0.2397,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015E,120,DEB,,US,1961-06-29,AFETR,,100.75,66.71,869.0,719.0,0.184,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015F,121,DEB,,US,1961-06-29,AFETR,,102.84,66.75,956.0,830.0,0.2591,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015G,122,DEB,,US,1961-06-29,AFETR,,96.15,66.74,604.0,544.0,0.324,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015H,123,DEB,,US,1961-06-29,AFETR,,99.9,66.69,830.0,678.0,0.1157,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015J,124,DEB,,US,1961-06-29,AFETR,,100.3,66.55,827.0,718.0,0.0983,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015K,125,DEB,,US,1961-06-29,AFETR,,102.3,66.88,921.0,815.0,0.042,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015L,126,DEB,,US,1961-06-29,AFETR,,99.7,66.71,786.0,703.0,0.319,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015M,127,DEB,,US,1961-06-29,AFETR,,99.45,66.83,774.0,691.0,0.3519,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015N,128,DEB,,US,1961-06-29,AFETR,,102.71,66.67,950.0,824.0,0.1654,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015Q,130,DEB,,US,1961-06-29,AFETR,,102.9,66.77,955.0,837.0,0.439,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015R,131,DEB,,US,1961-06-29,AFETR,,102.73,66.73,946.0,829.0,0.1233,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015S,132,DEB,,US,1961-06-29,AFETR,,103.24,66.66,971.0,853.0,0.254,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015T,133,DEB,,US,1961-06-29,AFETR,,101.21,67.11,856.0,776.0,0.6005,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015U,134,DEB,,US,1961-06-29,AFETR,,103.03,66.88,965.0,838.0,1.557,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015W,136,DEB,,US,1961-06-29,AFETR,,99.89,67.53,786.0,721.0,0.1039,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015Y,138,DEB,,US,1961-06-29,AFETR,,102.52,67.15,904.0,853.0,0.1008,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AB,141,DEB,,US,1961-06-29,AFETR,,103.68,66.59,970.0,895.0,0.3,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AE,144,DEB,,US,1961-06-29,AFETR,,103.48,66.5,948.0,898.0,0.0791,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AF,145,DEB,,US,1961-06-29,AFETR,,102.62,66.93,925.0,841.0,0.1138,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AH,147,DEB,,US,1961-06-29,AFETR,,101.13,66.62,850.0,774.0,0.1196,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AJ,148,DEB,,US,1961-06-29,AFETR,,102.09,65.77,956.0,759.0,0.124,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AL,150,DEB,,US,1961-06-29,AFETR,,104.07,66.25,996.0,905.0,0.2067,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AN,152,DEB,,US,1961-06-29,AFETR,,102.03,66.59,968.0,741.0,0.235,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AQ,154,DEB,,US,1961-06-29,AFETR,,102.4,66.66,928.0,817.0,0.271,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AR,155,DEB,,US,1961-06-29,AFETR,,99.22,66.88,747.0,695.0,0.038,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AU,158,DEB,,US,1961-06-29,AFETR,,113.73,67.07,1873.0,923.0,0.1867,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AV,159,DEB,,US,1961-06-29,AFETR,,110.51,65.52,1534.0,966.0,0.1792,,EA,ORB,LEO,,,left_only,Debris
TIROS 3,1961-017A,162,PAY,-,US,1961-07-12,AFETR,,99.63,47.9,772.0,710.0,0.8244,,EA,ORB,LEO,,,left_only,Inactive Satellite
MIDAS 3,1961-018A,163,PAY,,US,1961-07-12,AFWTR,,161.46,91.1,3543.0,3345.0,9.2155,,EA,ORB,MEO,,,left_only,Inactive Satellite
DELTA 1 DEB [YO],1961-017D,167,DEB,,US,1961-07-12,AFETR,,101.12,47.85,877.0,747.0,0.046,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015AY,172,DEB,,US,1961-06-29,AFETR,,105.95,67.07,1137.0,941.0,0.072,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BB,177,DEB,,US,1961-06-29,AFETR,,101.78,66.65,923.0,763.0,0.111,,EA,ORB,LEO,,,left_only,Debris
THOR ABLESTAR DEB,1961-015BC,178,DEB,,US,1961-06-29,AFETR,,103.37,66.87,971.0,865.0,0.096,,EA,ORB,LEO,,,left_only,Debris
MIDAS 3 DEB,1961-018C,188,DEB,,US,1961-07-12,AFWTR,,161.1,91.1,3548.0,3311.0,0.5766,,EA,ORB,MEO,,,left_only,Debris
