launch_year,objects_launched,launch_missions,payload_objects,payload_share_pct,cumulative_objects
1958,3,1,1,33.33,3
1959,7,5,5,71.43,10
1960,13,6,5,38.46,23
1961,212,8,9,4.25,235
1962,33,15,14,42.42,268
1963,91,12,17,18.68,359
1964,60,21,28,46.67,419
1965,449,33,52,11.58,868
1966,207,34,38,18.36,1075
1967,95,31,49,51.58,1170
1968,217,25,33,15.21,1387
1969,137,25,36,26.28,1524
1970,370,28,38,10.27,1894
1971,148,39,55,37.16,2042
1972,125,33,47,37.6,2167
1973,278,32,55,19.78,2445
1974,264,36,52,19.7,2709
1975,370,45,65,17.57,3079
1976,436,49,75,17.2,3515
1977,339,52,58,17.11,3854
1978,337,57,84,24.93,4191
1979,185,33,45,24.32,4376
1980,141,37,57,40.43,4517
1981,645,56,80,12.4,5162
1982,261,53,64,24.52,5423
1983,166,62,82,49.4,5589
1984,240,66,91,37.92,5829
1985,220,58,85,38.64,6049
1986,174,49,74,42.53,6223
1987,376,52,72,19.15,6599
1988,293,56,78,26.62,6892
1989,339,50,74,21.83,7231
1990,293,64,104,35.49,7524
1991,497,54,89,17.91,8021
1992,373,53,78,20.91,8394
1993,831,46,69,8.3,9225
1994,242,60,82,33.88,9467
1995,242,50,64,26.45,9709
1996,117,48,64,54.7,9826
1997,268,61,93,34.7,10094
1998,157,56,113,71.97,10251
1999,2638,59,104,3.94,12889
2000,518,61,89,17.18,13407
2001,125,38,54,43.2,13532
2002,165,41,61,36.97,13697
2003,125,47,65,52.0,13822
2004,109,41,58,53.21,13931
2005,98,36,53,54.08,14029
2006,219,46,59,26.94,14248
2007,219,46,76,34.7,14467
2008,295,50,80,27.12,14762
2009,166,54,88,53.01,14928
2010,307,55,91,29.64,15235
2011,406,59,91,22.41,15641
2012,199,56,85,42.71,15840
2013,261,57,130,49.81,16101
2014,405,68,142,35.06,16506
2015,203,66,129,63.55,16709
2016,198,62,101,51.01,16907
2017,208,70,158,75.96,17115
2018,527,93,229,43.45,17642
2019,219,72,162,73.97,17861
2020,568,83,528,92.96,18429
2021,1152,107,1088,94.44,19581
2022,2560,150,1856,72.5,22141
2023,2436,180,2369,97.25,24577
2024,3284,230,2620,79.78,27861
2025,4546,303,4444,97.76,32407
2026,827,50,798,96.49,33234
